lead_id,created_date,source,community_interest,zone,property_type_interest,budget_range,nationality,lead_score,stage,response_time_hours,total_interactions,ai_assisted,assigned_agent,conversion_value_sar,last_activity_date,follow_up_scheduled
LEAD-000001,2024-04-12,Exhibition,Dar Al Salam,West,Apartment,2M-3M,UAE,58,Site Visit,1.8,5,False,Agent E,0.0,2025-12-30,False
LEAD-000002,2025-02-17,Website,Al Fursan,West,Villa,1M-2M,Egyptian,15,Site Visit,1.8,5,True,Agent F,0.0,2025-12-18,False
LEAD-000003,2025-07-16,Social Media,Al Nargis,Central,Apartment,500K-1M,Jordanian,37,New,13.8,2,True,Agent D,0.0,2025-12-19,False
LEAD-000004,2024-02-04,Partner Agency,Al Nargis,Central,Villa,3M-5M,UAE,56,New,22.2,1,True,Agent B,0.0,2025-12-18,False
LEAD-000005,2024-09-27,Website,Al Bayan,South,Townhouse,10M+,British,65,Negotiation,40.3,12,True,Agent E,0.0,2025-12-23,True
LEAD-000006,2024-03-05,Website,Al Jawharah,East,Apartment,1M-2M,Saudi,61,Proposal Sent,17.7,12,True,Agent B,0.0,2025-12-23,False
LEAD-000007,2024-07-19,Walk-in,Warefa,North,Villa,1M-2M,Indian,84,Negotiation,1.6,12,True,Agent F,0.0,2025-12-29,False
LEAD-000008,2024-08-05,Website,Al Bayan,South,Villa,3M-5M,Saudi,22,Lost,7.7,14,True,Agent D,0.0,2025-01-09,False
LEAD-000009,2024-08-18,Social Media,Dar Al Salam,West,Villa,5M-10M,Jordanian,74,Negotiation,4.2,9,True,Agent D,0.0,2025-12-20,True
LEAD-000010,2024-12-05,Partner Agency,Dar Al Salam,West,Townhouse,500K-1M,UAE,44,Site Visit,0.5,7,True,Agent C,0.0,2025-12-25,True
LEAD-000011,2025-02-14,Social Media,Al Yasmin,Central,Apartment,1M-2M,Saudi,40,Site Visit,6.2,5,True,Agent B,0.0,2025-12-28,True
LEAD-000012,2025-01-20,Exhibition,Al Yasmin,Central,Villa,500K-1M,Jordanian,46,Contacted,28.7,3,True,Agent B,0.0,2025-12-27,True
LEAD-000013,2025-11-02,Referral,Al Bayan,South,Apartment,3M-5M,Saudi,48,Site Visit,12.0,9,True,Agent A,0.0,2025-12-23,True
LEAD-000014,2024-11-21,Walk-in,Alarous,North,Apartment,3M-5M,Saudi,33,Site Visit,0.4,7,False,Agent B,0.0,2025-12-24,True
LEAD-000015,2025-04-17,Website,Al Rimal,East,Villa,3M-5M,British,77,Negotiation,1.2,14,False,Agent E,0.0,2025-12-21,True
LEAD-000016,2024-08-20,Social Media,Alarous,North,Penthouse,2M-3M,American,63,Negotiation,5.6,11,False,Agent A,0.0,2025-12-19,True
LEAD-000017,2024-12-03,Referral,Alarous,North,Apartment,1M-2M,Indian,49,Negotiation,12.6,6,False,Agent A,0.0,2025-12-31,True
LEAD-000018,2025-04-14,Social Media,Al Ahlam,Central,Duplex,2M-3M,Filipino,11,Site Visit,13.3,5,False,Agent D,0.0,2025-12-19,True
LEAD-000019,2025-05-30,Website,Sedra,North,Villa,10M+,Egyptian,72,Proposal Sent,36.7,10,True,Agent F,0.0,2025-12-27,True
LEAD-000020,2025-11-30,Call Center,Al Yasmin,Central,Villa,1M-2M,Egyptian,23,Won,5.3,9,True,Agent B,1551753.0,2025-12-28,False
LEAD-000021,2025-10-24,Website,Dar Al Salam,West,Villa,1M-2M,British,58,Negotiation,4.2,7,True,Agent B,0.0,2025-12-23,True
LEAD-000022,2025-05-20,Website,Al Nargis,Central,Apartment,2M-3M,Indian,54,Qualified,5.7,5,True,Agent F,0.0,2025-12-29,True
LEAD-000023,2025-07-28,Email Campaign,Al Ahlam,Central,Apartment,500K-1M,Saudi,40,Contacted,8.9,5,False,Agent D,0.0,2025-12-20,True
LEAD-000024,2024-07-14,Call Center,Al Nargis,Central,Townhouse,3M-5M,Saudi,23,Negotiation,0.6,5,True,Agent F,0.0,2025-12-25,True
LEAD-000025,2025-10-02,Website,Sedra,North,Townhouse,1M-2M,Saudi,55,Negotiation,6.9,13,False,Agent C,0.0,2025-12-20,True
LEAD-000026,2025-03-10,Exhibition,Al Jawharah,East,Townhouse,500K-1M,Saudi,73,Site Visit,7.5,8,True,Agent B,0.0,2025-12-22,False
LEAD-000027,2024-04-09,Website,Al Rimal,East,Apartment,2M-3M,American,30,New,12.3,1,True,Agent C,0.0,2025-12-28,True
