lead_id,created_date,source,community_interest,zone,property_type_interest,budget_range,nationality,lead_score,stage,response_time_hours,total_interactions,ai_assisted,assigned_agent,conversion_value_sar,last_activity_date,follow_up_scheduled,target,conversion_probability,lead_priority
LEAD-000008,2024-08-05,Website,Al Bayan,South,Villa,3M-5M,Saudi,22,Lost,7.7,14,True,Agent D,0.0,2025-01-09,False,0.0,0.16665268553217452,Cold
LEAD-000020,2025-11-30,Call Center,Al Yasmin,Central,Villa,1M-2M,Egyptian,23,Won,5.3,9,True,Agent B,1551753.0,2025-12-28,False,1.0,0.595750855562294,Warm
LEAD-000028,2025-11-20,Referral,Sedra,North,Townhouse,2M-3M,Other,73,Lost,2.6,14,True,Agent F,0.0,2025-11-28,False,0.0,0.4207603456316882,Cool
LEAD-000030,2025-01-10,Exhibition,Al Yasmin,Central,Duplex,2M-3M,UAE,97,Won,1.6,16,True,Agent F,2546400.0,2025-01-28,False,1.0,0.5386019948201196,Warm
LEAD-000034,2024-09-09,Call Center,Marafy,South,Villa,3M-5M,Indian,73,Lost,8.5,14,False,Agent F,0.0,2025-02-21,False,0.0,0.46630790121295473,Cool
LEAD-000045,2024-04-04,Social Media,Marafy,South,Villa,3M-5M,UAE,50,Lost,11.1,17,True,Agent E,0.0,2024-04-15,False,0.0,0.0626915118595233,Cold
LEAD-000050,2025-01-03,Referral,Al Rimal,East,Villa,1M-2M,Indian,26,Lost,11.2,16,True,Agent F,0.0,2025-01-30,False,0.0,0.070485820590842,Cold
LEAD-000051,2025-12-10,Social Media,Al Nargis,Central,Penthouse,500K-1M,British,53,Lost,0.5,16,False,Agent F,0.0,2025-12-24,False,0.0,0.19284016594029546,Cold
LEAD-000054,2025-09-04,Website,Al Jawharah,East,Apartment,2M-3M,UAE,61,Won,40.2,12,True,Agent C,2828755.0,2025-11-25,False,1.0,0.6633057879103068,Warm
LEAD-000055,2025-06-30,Partner Agency,Al Ahlam,Central,Villa,3M-5M,British,65,Won,2.5,14,True,Agent F,4027679.0,2025-11-15,False,1.0,0.366333858905499,Cool
LEAD-000064,2025-05-15,Partner Agency,Sedra,North,Apartment,1M-2M,Saudi,51,Lost,7.4,12,True,Agent F,0.0,2025-07-23,False,0.0,0.5335317236742182,Warm
LEAD-000068,2025-08-01,Partner Agency,Al Fursan,West,Villa,500K-1M,Saudi,64,Won,6.1,13,False,Agent E,728938.0,2025-10-01,False,1.0,0.5957803132789308,Warm
LEAD-000069,2024-01-07,Walk-in,Sedra,North,Villa,500K-1M,Saudi,31,Lost,3.4,18,True,Agent B,0.0,2024-05-22,False,0.0,0.025696422743722403,Cold
LEAD-000073,2024-01-27,Partner Agency,Al Ahlam,Central,Apartment,1M-2M,Indian,100,Won,6.2,12,False,Agent F,1296135.0,2024-03-27,False,1.0,0.9174801334555903,Hot
LEAD-000075,2025-02-09,Exhibition,Sedra,North,Villa,2M-3M,Saudi,64,Lost,2.0,15,True,Agent B,0.0,2025-04-29,False,0.0,0.17179826804520013,Cold
LEAD-000077,2024-02-13,Call Center,Sedra,North,Villa,10M+,UAE,63,Won,2.6,10,False,Agent E,15865245.0,2024-03-15,False,1.0,0.7165784184932897,Warm
LEAD-000079,2025-11-18,Website,Dar Al Salam,West,Duplex,2M-3M,American,40,Won,0.5,14,True,Agent C,2545508.0,2025-12-28,False,1.0,0.24587724182038215,Cold
LEAD-000083,2024-10-19,Website,Sedra,North,Duplex,500K-1M,Saudi,30,Lost,19.2,14,True,Agent D,0.0,2024-12-03,False,0.0,0.27731555634821575,Cool
LEAD-000085,2025-05-20,Exhibition,Al Ahlam,Central,Penthouse,2M-3M,Saudi,100,Won,3.6,13,True,Agent B,2647015.0,2025-05-29,False,1.0,0.7816314805670945,Hot
LEAD-000088,2024-04-23,Referral,Alarous,North,Penthouse,1M-2M,Indian,32,Lost,19.2,15,False,Agent A,0.0,2024-06-27,False,0.0,0.14293482979444871,Cold
LEAD-000089,2025-07-24,Website,Dar Al Salam,West,Villa,5M-10M,Saudi,41,Lost,39.0,16,True,Agent B,0.0,2025-12-15,False,0.0,0.08153200703560941,Cold
LEAD-000093,2024-08-14,Referral,Al Fursan,West,Villa,500K-1M,Saudi,96,Won,7.1,12,True,Agent E,849968.0,2024-11-27,False,1.0,0.9017238555840016,Hot
LEAD-000098,2024-09-30,Walk-in,Warefa,North,Townhouse,2M-3M,Saudi,80,Won,0.1,13,True,Agent A,2306534.0,2025-02-04,False,1.0,0.6153998753781204,Warm
LEAD-000109,2024-06-04,Call Center,Al Ahlam,Central,Villa,500K-1M,Saudi,50,Lost,0.1,13,True,Agent F,0.0,2024-08-08,False,0.0,0.4993748073427711,Cool
LEAD-000111,2025-01-18,Website,Al Nargis,Central,Apartment,1M-2M,Indian,37,Lost,2.3,18,False,Agent B,0.0,2025-07-14,False,0.0,0.03758637014706691,Cold
LEAD-000112,2025-02-17,Referral,Sedra,North,Penthouse,5M-10M,Pakistani,78,Lost,11.0,14,False,Agent F,0.0,2025-04-17,False,0.0,0.5456377031799311,Warm
LEAD-000113,2024-10-30,Walk-in,Al Rimal,East,Townhouse,1M-2M,Jordanian,81,Lost,2.8,14,True,Agent A,0.0,2025-01-12,False,0.0,0.5668316647165728,Warm
LEAD-000114,2025-09-01,Social Media,Al Nargis,Central,Apartment,3M-5M,Pakistani,44,Won,1.5,15,True,Agent A,3794057.0,2025-11-11,False,1.0,0.17765017463931793,Cold
LEAD-000130,2024-03-07,Exhibition,Al Nargis,Central,Penthouse,1M-2M,Saudi,51,Lost,10.2,13,False,Agent B,0.0,2024-04-07,False,0.0,0.35083118018958404,Cool
LEAD-000131,2024-09-09,Call Center,Al Nargis,Central,Apartment,500K-1M,American,39,Lost,3.5,16,False,Agent B,0.0,2025-01-29,False,0.0,0.13725231443833913,Cold
LEAD-000138,2024-05-08,Call Center,Sedra,North,Penthouse,500K-1M,Filipino,93,Won,4.5,11,True,Agent A,652497.0,2024-08-10,False,1.0,0.8780151135185587,Hot
LEAD-000141,2024-12-25,Walk-in,Warefa,North,Apartment,500K-1M,Saudi,60,Lost,1.3,14,False,Agent B,0.0,2025-05-29,False,0.0,0.41083459743608824,Cool
LEAD-000147,2025-04-17,Referral,Al Bayan,South,Apartment,3M-5M,UAE,97,Won,22.0,18,False,Agent F,3642977.0,2025-10-02,False,1.0,0.39317687243571864,Cool
LEAD-000165,2024-09-03,Website,Al Yasmin,Central,Apartment,2M-3M,Indian,33,Lost,20.5,16,True,Agent C,0.0,2024-11-08,False,0.0,0.11420128609033986,Cold
LEAD-000167,2025-11-22,Partner Agency,Alarous,North,Townhouse,3M-5M,Indian,19,Won,7.6,15,False,Agent C,3437339.0,2025-12-27,False,1.0,0.0833955978619204,Cold
LEAD-000168,2024-09-28,Website,Alarous,North,Apartment,500K-1M,Saudi,41,Won,3.9,14,True,Agent D,832437.0,2024-11-20,False,1.0,0.2656005968765312,Cool
LEAD-000169,2024-05-22,Website,Alarous,North,Apartment,2M-3M,Pakistani,46,Won,0.7,13,False,Agent C,2805396.0,2024-10-26,False,1.0,0.3746593544816759,Cool
LEAD-000170,2025-03-18,Website,Marafy,South,Townhouse,1M-2M,UAE,45,Won,7.8,10,True,Agent F,1688134.0,2025-08-21,False,1.0,0.6119867947106392,Warm
LEAD-000177,2025-10-14,Referral,Sedra,North,Villa,1M-2M,Saudi,58,Won,10.2,11,True,Agent C,1294974.0,2025-10-29,False,1.0,0.6396767222978255,Warm
LEAD-000179,2025-09-11,Exhibition,Marafy,South,Duplex,3M-5M,Jordanian,78,Lost,20.7,13,True,Agent C,0.0,2025-11-02,False,0.0,0.6580937824887796,Warm
LEAD-000180,2024-12-08,Exhibition,Al Bayan,South,Villa,5M-10M,Saudi,91,Won,1.2,14,True,Agent D,8400723.0,2025-02-28,False,1.0,0.725464009276232,Warm
LEAD-000187,2024-09-18,Exhibition,Al Yasmin,Central,Villa,5M-10M,Saudi,68,Won,11.1,13,False,Agent A,6573454.0,2024-11-22,False,1.0,0.4689550692606796,Cool
LEAD-000193,2025-05-13,Referral,Alarous,North,Penthouse,2M-3M,UAE,95,Won,7.8,16,False,Agent D,2127376.0,2025-08-08,False,1.0,0.4759105409481219,Cool
LEAD-000194,2024-05-26,Social Media,Alarous,North,Townhouse,2M-3M,Jordanian,89,Won,14.2,12,True,Agent F,2608353.0,2024-11-17,False,1.0,0.8037587264429794,Hot
LEAD-000198,2024-08-02,Partner Agency,Al Bayan,South,Duplex,1M-2M,Egyptian,62,Lost,11.1,12,True,Agent A,0.0,2024-09-02,False,0.0,0.6437495135482632,Warm
LEAD-000206,2024-09-19,Website,Alarous,North,Townhouse,2M-3M,UAE,31,Lost,4.1,16,True,Agent A,0.0,2024-11-13,False,0.0,0.07147409741704537,Cold
LEAD-000211,2025-05-03,Partner Agency,Warefa,North,Townhouse,3M-5M,Egyptian,50,Lost,0.9,15,True,Agent C,0.0,2025-08-07,False,0.0,0.14103939917110198,Cold
LEAD-000213,2025-07-17,Social Media,Al Ahlam,Central,Townhouse,5M-10M,Indian,38,Lost,9.1,14,True,Agent E,0.0,2025-11-22,False,0.0,0.278268506821276,Cool
LEAD-000222,2025-05-08,Website,Al Nargis,Central,Villa,5M-10M,Egyptian,46,Won,8.7,15,True,Agent E,7010563.0,2025-06-06,False,1.0,0.14301155053539552,Cold
LEAD-000223,2025-08-03,Social Media,Al Yasmin,Central,Apartment,500K-1M,UAE,36,Lost,3.1,15,True,Agent E,0.0,2025-08-12,False,0.0,0.1675251483962162,Cold
LEAD-000239,2025-10-05,Social Media,Al Jawharah,East,Townhouse,10M+,Saudi,99,Won,2.7,14,False,Agent E,16698615.0,2025-12-02,False,1.0,0.7223232638147661,Warm
LEAD-000242,2025-05-23,Referral,Al Jawharah,East,Townhouse,5M-10M,Filipino,66,Won,12.2,15,False,Agent D,7578807.0,2025-09-13,False,1.0,0.2778676069320686,Cool
LEAD-000252,2024-04-02,Call Center,Al Jawharah,East,Townhouse,1M-2M,Pakistani,23,Lost,4.3,14,True,Agent E,0.0,2024-05-08,False,0.0,0.19102808956159592,Cold
LEAD-000264,2025-07-26,Walk-in,Alarous,North,Townhouse,3M-5M,UAE,74,Lost,5.3,12,True,Agent E,0.0,2025-09-29,False,0.0,0.7303903146147664,Warm
LEAD-000272,2024-01-13,Website,Al Yasmin,Central,Villa,5M-10M,Pakistani,50,Won,14.7,12,True,Agent F,6683584.0,2024-01-29,False,1.0,0.454770255945056,Cool
LEAD-000274,2024-03-29,Referral,Alarous,North,Duplex,3M-5M,Saudi,95,Lost,0.5,15,True,Agent E,0.0,2024-06-19,False,0.0,0.6163591542454256,Warm
LEAD-000280,2024-08-16,Referral,Al Jawharah,East,Apartment,2M-3M,Pakistani,100,Lost,5.7,15,False,Agent B,0.0,2024-09-04,False,0.0,0.6676396871757994,Warm
LEAD-000285,2024-04-28,Referral,Al Nargis,Central,Apartment,1M-2M,Saudi,84,Won,55.4,15,True,Agent C,1339015.0,2024-06-01,False,1.0,0.5968861697629099,Warm
LEAD-000286,2024-07-28,Email Campaign,Sedra,North,Duplex,1M-2M,UAE,28,Lost,7.1,15,True,Agent B,0.0,2025-01-02,False,0.0,0.10823342696922891,Cold
LEAD-000289,2024-10-28,Walk-in,Marafy,South,Villa,2M-3M,Filipino,90,Won,5.4,11,False,Agent F,2517357.0,2024-12-13,False,1.0,0.9046574571639422,Hot
LEAD-000294,2024-12-31,Website,Marafy,South,Penthouse,3M-5M,UAE,12,Lost,1.5,14,False,Agent A,0.0,2025-06-06,False,0.0,0.10658871029049913,Cold
LEAD-000295,2024-08-04,Walk-in,Al Yasmin,Central,Townhouse,1M-2M,Indian,34,Lost,3.7,17,True,Agent D,0.0,2024-12-07,False,0.0,0.05461304023434999,Cold
LEAD-000296,2025-02-02,Walk-in,Dar Al Salam,West,Villa,3M-5M,Indian,79,Lost,0.1,12,True,Agent E,0.0,2025-07-03,False,0.0,0.706926890047021,Warm
LEAD-000298,2024-10-10,Referral,Warefa,North,Apartment,1M-2M,Egyptian,72,Lost,29.8,14,True,Agent A,0.0,2024-11-15,False,0.0,0.5121008524137705,Warm
LEAD-000299,2025-04-02,Social Media,Warefa,North,Apartment,2M-3M,Pakistani,44,Won,9.3,13,False,Agent F,2205711.0,2025-07-10,False,1.0,0.3578211917874662,Cool
LEAD-000300,2024-01-06,Social Media,Warefa,North,Villa,2M-3M,Saudi,47,Lost,9.8,15,False,Agent C,0.0,2024-06-05,False,0.0,0.11337221815920238,Cold
LEAD-000310,2025-08-29,Email Campaign,Alarous,North,Villa,1M-2M,Pakistani,95,Lost,17.5,15,True,Agent B,0.0,2025-09-06,False,0.0,0.4556431899428136,Cool
LEAD-000316,2025-09-13,Website,Warefa,North,Villa,3M-5M,American,52,Lost,15.6,14,False,Agent E,0.0,2025-12-28,False,0.0,0.21362134750096357,Cold
LEAD-000319,2024-12-20,Social Media,Alarous,North,Villa,500K-1M,British,52,Won,5.8,14,False,Agent E,724963.0,2025-03-25,False,1.0,0.3051028690075022,Cool
LEAD-000331,2025-11-23,Website,Sedra,North,Townhouse,10M+,Saudi,90,Won,7.6,9,True,Agent F,16961718.0,2025-12-24,False,1.0,0.9405188319890578,Hot
